,Test_document,Expected_result,multinomial_model_2,multinomial_model_2_accuracy
346,"lend softwar lend softwar quiklo micro-lend platform student enabl electron purchas emi quiklo build proprietari next generat credit risk engin use 1,000+ data point includ deriv data build robust underwrit manag strategi data point deriv multipl non-tradit altern data sourc cater segment credit histori cibil score believ segment equal aspir credit worthi one cibil score core technolog determin credit worthi borrow among young milleni",Others,Others,78.87323943661971
225,"agricultur farm financi servic agricultur farm financi servic nongfenqi rural internet financ servic platform nongfenqi rural internet financ servic platform.run nanj nongfenqi e-commerc co. ltd. provid instal payment servic larg farm group collabor commune agricultur equip purchas compani provid servic 20,000 client far report ad",Others,Others,78.87323943661971
130,internet internet finomena financi technolog start-up revolutionis way everi consum think finance. innov happen smart peopl stubbor decid ask simpl first-principles-bas question instead accept status-quo-bas answer found stanford iit delhi graduat ve previous kick ass place like facebook microsoft boston consult group bain capit finomena provid access flexibl credit larg segment india??? young demograph tradit access finomena aim radic chang end-to-end custom experi borrow person profession growth make young indian financi independ financi liter thus revolutionis way bank done today??? smartphone-wield indian,Others,Others,78.87323943661971
86,crowdfund small medium busi crowdfund small medium busi mission lead communiti capit transform mission lead communiti capit transform investnextdoor creat first community-engag capit marketplac marketplac creat new sourc reason price capit small busi better return main street investor longev community-bas bank credit union focus communiti first amplifi econom effect consum invest small busi keep benefit borrow lifecycl within given communiti educ access transpar fair core valu start investnextdoor believ us borrow invest model broken ve hit reset button start fresh go back basic ve made better ve made social fun impact re brand new kind financi servic compani ve alreadi made thing better,Others,Others,78.87323943661971
127,financi servic financi servic cashbus microfin compani cashbus microfin compani establish 2014 headquart shanghai offer small short-term micro instal loan underbank china,Others,Others,78.87323943661971
19,crowdfund lend marketplac crowdfund lend marketplac experienc team proven platform address need crowdfund marketplac south america experienc team proven platform address need crowdfund marketplac south america megatrend opportun team bet,Others,Others,78.87323943661971
277,crowdfund internet real estat crowdfund internet real estat exporo internet platform offer investor opportun invest real estat project crowdinvest exporo onlin platform offer real-est crowdfund servic user platform enabl user invest rang real-est project obtain return exporo launch 2014 base hamburg,Others,Others,78.87323943661971
339,nation??? lead financi servic firm connect merchant divers experienc privat busi lender,Others,Others,78.87323943661971
135,energi effici financi servic fintech renew energi energi effici financi servic fintech renew energi figtre ondemandpac program provid pace figtre financ provid client program facilit capit environment friend product servic san diego california-bas clean energi financ compani also offer pace financ support commerci properti owner improv properti lower util bill energi effici renew energi water conserv upgrad found 2010 mahesh shah figtre financ special smart invest energi save emiss reduct properti owner focus small commerci market struggl keep pace linear growth residenti solar,Others,Others,78.87323943661971
326,incr,Others,Others,78.87323943661971
290,automot financ mobil automot financ mobil autogravity??? uniqu mobil platform deliv auto financ palm hand autograv fintech pioneer mission transform process financ car uniqu digit experi autograv partner world??? lead bank give consum direct control financ car smartphon offer simpl mobil platform autograv empow custom multipl loan offer network trust car dealerships.? headquart irvin ca autograv found team digit nativ industri veterans.? learn visit www.autogravity.com follow autogravityhq twitter,Auto Loans ,Others,78.87323943661971
131,alumni crowdfund energi fintech solar alumni crowdfund energi fintech solar wunderapp applic load tablet devic provid high visibl hotel civersifi fund solar project found 2014 wunder make simpl accredit investor build solar portfolio reap return previous access largest institut investor corpor wunder sourc solar project grow nation network instal partner use proprietari softwar perform rigor dilig project wunder bring best solar invest opportun institut individu accredit investor locat boulder colorado wunder first solar compani back prestigi techstar incub program learn www.wundercapital.com,Mortgages,Others,78.87323943661971
38,bank financ financi servic bank financ financi servic privlo onlin lender well-qualifi borrow fallen crack inher tradit agenc privlo onlin lender well-qualifi borrow fallen crack inher tradit agenc qualifi mortgag qm process heart commonsens approach proprietari decision-mak process valu individu 's uniqu financi pictur privlo offer incred custom experi speed certainti close,Mortgages,Others,78.87323943661971
324,financ financi servic person financ financ financi servic person financ guarante rate provid mortgag lend servic home loan home mortgag refinanc servic,Mortgages,Others,78.87323943661971
104,financ real estat financ real estat lenda onlin platform enabl individu refin home loan onlin lenda former gorefi onlin platform enabl individu refin home loan onlin user get real time quot submit applic verifi upload document close loan lenda found jason van den brand elijah murray 2011,Mortgages,Others,78.87323943661971
11,analyt analyt daric peer-to-p lend platform provid person small busi loan daric peer peer lend platform extend person small busi loan competit rate use big data,Loan management platform,Others,78.87323943661971
67,analyt big data ident manag social media analyt big data ident manag social media trust social build next generat credit score base social data make lend faster cheaper friendlier trust social provid consum credit score base social web mobil data solut enabl lender emerg market lend billion ???financi invisible??? consum cover credit bureaus test proven accur faster cheaper exist solut,Credit rating platforms,Others,78.87323943661971
45,financ publish ventur capit financ publish ventur capit open book ben altern tradit busi credit bureau open book ben altern tradit busi credit bureau build on-lin communiti small medium-s busi `` '' smbs '' '' collabor share creditworthi busi intellig system beta sever financi institut compani use feedback ben democrat access creditworthi type import busi data smbs struggl near everi aspect busi credit exist credit bureaus often fail score smbs accur small firm even show databas sinc afford solut busi credit data smbs suffer huge write off 64 billion last year ben solut problem discuss platform attract altern credit bureaus ben also offer power market lead gen tool also offer greatly-need smb suppli chain tool `` '' vendor worth '' '' score help smbs assess qualiti b2b vendor,Credit rating platforms,Others,78.87323943661971
278,credit financ financi servic credit financ financi servic adf purpose-built optim link underestim underbank consum capit market adf purpose-built optim link underestim underbank consum capit market,Credit rating platforms,Others,78.87323943661971
160,consum credit financ consum credit financ revolutioncredit engag platform help lender consum credit decis process revolutioncredit uniqu platform allow consum watch short entertain financi literaci video demonstr improv financi capabl like traffic school credit.?? allow financi institut identifi creditworthi custom extend access wider rang financi servic better price,Credit rating platforms,Others,78.87323943661971
363,chariti chariti graduat generat beyond poverti graduat generat beyond poverti,Education Loans ,Others,78.87323943661971
140,financ financi servic fintech financ financi servic fintech vest financ becom vemo educ http //vemo.com/ schoold app http //schoold.co/,Education Loans ,Others,78.87323943661971
42,big data financi servic fintech big data financi servic fintech financ futur educ financ student attend top acceler learn program,Education Loans ,Others,78.87323943661971
293,consum lend financ fintech consum lend financ fintech lendkey technolog develop cloud-bas platform connect lender borrow facilit onlin lend loan lendkey financi technolog compani creat white-label lend solut transform financi institut profit digit lend busi compani manag entir lend process includ demand generat onlin decis loan origin custom servic balanc sheet manag base new york cincinnati compani found 2009,Education Loans ,Others,78.87323943661971
29,micro lend non profit social entrepreneurship micro lend non profit social entrepreneurship zidisha microlend communiti direct connect lender borrow platform zidisha peer-to-p lend servic connect individu lender direct microfin borrow low-incom countri zidisha base convict small-scal entrepreneur develop countri capabl interact respons peer-to-p lender via self-regul web platform without need local intermediari communic manag loan transact behalf though microlend websit allow individu contribut fund toward microloan choic reli local microfin organ communic lender creat loan applic collect repay intermedi microlend platform communic one way borrow often unawar lender fund loan averag intermediari organ add 30 sometim much 100 fee interest loan rais websit cover administr expens high interest rate reduc borrow profit sometim point make poorer receiv loan unlik post microlend platform loan applic comment post zidisha 's loan page written borrow open way dialogu lender borrow lender receiv answer inquiri loan busi direct entrepreneur fund elimin unnecessari intermediari also decreas cost loan averag zidisha borrow pay 8 flat rate annual interest fee includ interest paid lender far rate tradit charg microfin loan develop countri reduc interest cost allow entrepreneur keep profit loan greater impact reduc poverti,Micro Finance ,Others,78.87323943661971
