,domain_name,Test_document,Expected_result,knn_model_6,knn_model_6_accuracy
300,capitalfloat.com,financi servic fintech small medium busi financi servic fintech small medium busi capit float onlin platform provid work capit financ smes india capit float onlin platform provid work capit financ smes india offer flexibl short-term loan use purchas inventori servic new order optim cash cycl borrow appli onlin minut select desir repay term receiv fund bank account 7 day minim hassl,Others,Others,84.93150684931507
251,lendingclub.com,consum lend credit financ fintech lend person financ consum lend credit financ fintech lend person financ lend club onlin financi communiti bring togeth creditworthi borrow savvi investor lend club onlin financi communiti bring togeth creditworthi borrow savvi investor benefit financi replac high cost complex bank lend faster smarter way borrow invest,Others,Others,84.93150684931507
89,simplycreditinc.com,financi servic machin learn person financ financi servic machin learn person financ simplycredit mission transform consum lend known today simplycredit mission transform consum lend known today believ right consum fee penalti price gotcha fine print want bring saniti back lend stand behind underwrit make sure consum get valu servic deserv use advanc technolog creat credit lend innov line valu deliv seamless custom experi,Others,Others,84.93150684931507
131,creditseva.com,analyt bank fintech softwar analyt bank fintech softwar consum credit analyt manag tool onlin creditseva.com onlin consum credit analyt manag tool help individu build healthi credit profil enabl user track report error instant communic bank credit bureaus get custom option build credit score also allow user settl old account rectifi error protect ident fraud set remind various financi transact creditseva.com launch 2011 base hyderabad india,Credit rating platforms,Credit rating platforms,84.93150684931507
361,wezebra.com,internet internet countri 's first internet platform build intellig rent instal kingdom zebra zebra network technolog beij co. ltd. brand countri 's first internet platform build intellig rent instal commit nation 's renter provid simpl conveni servic rent instal use advanc internet technolog matur help peopl solv current urban popul rent heavi pressur china 's leader field rent instal mobil stage promot chengdu subsidiari compani kingdom zebra depth use comput scienc field intellig algorithm person recommend model short period time user handl rent instal servic commit internet technolog modern financi servic combin provid user perfect servic core team member well-known intern oper equip provid internet compani media 8 year internet develop stage oper experi technolog,Others,Others,84.93150684931507
194,kredx.com,fintech internet marketplac peer peer fintech internet marketplac peer peer kredx india 's first onlin invoic discount platform kredx indian invoic discount platform provid short-term invest opportun small- medium-s enterpris india onlin platform develop proprietari credit risk assess model borrow technolog platform financi provid complet trade servic sourc curat invoic conduct due dilig use proprietari credit underwrit algorithm launch manish kumar anurag jain puneet agarw 2015 kredx partner bank account firm law firm ensur aspect servic compliant regul ensur consum protect time,Others,Others,84.93150684931507
63,lantouzi.com,bank financi servic secur bank financi servic secur lantouzi.com offer secur invest bank platform internet compani financi institut lantouzi.com onlin invest bank platform help small- medium-s enterpris fulfil busi financ need launch 2014 base beij china,Others,Others,84.93150684931507
165,creditkey.com,e-commerc financi servic payment e-commerc financi servic payment credit key patent pay-over-tim financ solut e-commerc merchant credit key patent pay-over-tim financ solut e-commerc merchant,Others,Others,84.93150684931507
353,stacksource.com,commerci real estat fintech marketplac real estat commerci real estat fintech marketplac real estat onlin platform commerci real estat loan stacksourc new fintech platform 3t commerci mortgag market today 's loan origin process commerci real estat complet offlin fragment slow stacksourc 's platform help borrow mortgag broker connect lender onlin select negoti secur financ found team made ex-googl ex-facebook ex-northstar employe live prototyp close beta team finish techstar fintech acceler nyc 2016,Others,Others,84.93150684931507
141,licaifan.com,develop platform e-commerc financ fintech develop platform e-commerc financ fintech licaifan chines onlin financ platform licaifan chines onlin financ platform offer p2b invest loan financi servic small- medium-s enterpris launch march 2014 compani headquart beij china,Others,Others,84.93150684931507
246,climbcredit.com,credit educ fintech credit educ fintech climb new kind lend compani strive work school consist improv live student climb credit financ educ work identifi school consist improv graduat earn potenti justifi cost tuition provid simpl fast afford loan student help meet career financi goal know student credit score factor power transform educ climb offer student better rate -- strive financ educ posit impact student live,Education Loans ,Education Loans ,84.93150684931507
105,quick.me,financi servic fintech lend small medium busi financi servic fintech lend small medium busi quick provid work capit small busi exclus partnership saas/po platform quick provid capital-as-a-servic offer saa ecommerc marketplac payment platform therebi make easi seamless merchant platform appli receiv cash advanc quick quick 's intuit widget enabl small busi owner appli receiv work capit `` quick '',Others,Others,84.93150684931507
258,i-lend.in,lend marketplac peer peer lend marketplac peer peer i-lend india 's first social lend initi bring togeth borrow lender facilit financi transact onlin marketplac bring togeth creditworthi borrow individu lender person loan transact without intervent tradit financi institut like bank borrow appli small loan rs.25k rs.1l 6 month 12 month period interest rate vari 18 24 much lower financi institut lender higher return compar save account fds,Others,Others,84.93150684931507
112,duanrong.com,financ fintech wealth manag financ fintech wealth manag net short financi wealth belong long-billion beij invest,Working Capital ,Others,84.93150684931507
169,zestfinance.com,analyt big data fintech machin learn analyt big data fintech machin learn zestfinance??? credit-decis platform help lender predict credit risk increas revenu reduc risk ensur complianc zestfin found world??? best data scientist mission use machin learn algorithm revolution credit decis made provid fair transpar credit everyon zest autom machin learn zaml??? platform zest 's uniqu credit-decis platform enabl lender analyz vast amount non-tradit credit data increas approv rate reduc risk credit decis particular thin-fil no-fil borrow like millenni platform also provid abil explain data model result measur busi impact compli regulatori requir,Credit rating platforms,Credit rating platforms,84.93150684931507
97,expansionadvance.com,financi servic fintech small medium busi financi servic fintech small medium busi ecg provid loan small busi u.s. histor underserv tradit financi institut expans capit group llc ???ecg??? provid loan small busi u.s. histor underserv tradit financi institut may experienc challeng obtain afford time financ compani develop technolog platform use predict model data aggreg electron payment technolog enabl servic target market tradit lender general focus small busi owners??? person credit histori ecg focus small busi owners??? person credit histori also perform small busi use broad array tradit nontradit data sourc compani develop proprietari end-to-end lend platform includ onlin base origin platform proprietari credit score model autom collect platform collect ach payment merchant,Others,Others,84.93150684931507
57,oportun.com,consum lend debit card financi servic fintech consum lend debit card financi servic fintech oportun provid afford loan help peopl littl credit histori establish credit build better futur oportun use advanc data analyt technolog provid respons afford person loan peopl littl credit histori ?? ? peopl other consid ???unscoreable.??? sinc found 2005 oportun help million custom disburs 4 billion small dollar loan report account inform credit bureaus custom establish credit histori need compani oper 240+ retail locat deliv custom servic english spanish across channel includ mobil oportun loan current avail arizona california illinoi missouri nevada new mexico texa utah,Others,Others,84.93150684931507
308,carecap.com,financi servic inform technolog payment financi servic inform technolog payment carecap cloud-bas payment manag system enabl busi provid custom easi custom autom payment plan grow number consum lack abil pay in-ful need good servic point purchas carecap cloud-bas payment manag system enabl busi provid custom easi custom autom way pay time -- e-invo -- subscript -- payment plan,White label Platform,Others,84.93150684931507
256,ledge.me,consum lend financi servic consum lend financi servic digit financ platform optim custom experi digit distribut channel manag financi servic provid power venmo ledg simplest way borrow money friend family- automat pay back term choose.you re chariti case re good sometim larg expens come requir littl help ledg make sure never miss beat need littl extra cash,Others,Others,84.93150684931507
172,wishfin.com,wishfin enabl wish invest credit smart financi manag,Others,Others,84.93150684931507
294,renewfinancial.com,clean energi financ fintech renew energi clean energi financ fintech renew energi renew financi found 2008 cisco devri origin idea properti assess clean energi pace financ model renew financi provid financ solut help effici renew energi contractor grow busi promot energi independ aim develop advanc financ design transform america??? economi clean energi company??? financ product includ pace financ model warehous energi effici loan open residenti energi effici financ market larg institut investor found 2008 cisco devri renew financi partnership solarc target small- medium-s busi util pace,Mortgages,Mortgages,84.93150684931507
325,lpsvcs.com,softwar softwar lender process servic provid integr technolog outsourc servic mortgag lend industri u.s. lender process servic inc. provid integr technolog outsourc servic mortgag lend industri unit state oper two segment technolog data analyt loan transact servic technolog data analyt segment offer softwar system inform solut facilit autom various busi process across life cycl mortgag applic servic technolog includ mortgag servic platform loan setup ongo process custom servic account report feder regulatori report desktop web-bas workflow inform system various softwar applic servic facilit origin mortgag loan segment also provid data analyt servic includ enhanc properti data inform altern valuat servic altern valuat servic loan transact servic segment offer custom outsourc busi process inform solut provid various settlement servic central titl agenc close servic financi institut client properti apprais servic lender real estat tax inform feder flood zone certif monitor servic outsourc tax escrow servic segment also offer default manag servic includ foreclosur servic properti inspect preserv servic well asset manag default titl settlement servic lender process servic inc. provid servic primarili bank well various financi institut mortgag lender mortgag loan servic provid real estat profession compani headquart jacksonvill florida,Loan management platform,Others,84.93150684931507
81,circlebacklending.com,financ financi servic impact invest financ financi servic impact invest circleback lend internet-bas credit platform purchas fix incom asset back consum credit product circleback lend internet-bas consum lend platform two-part mission first aim provid prime super-prim consum unit state fast effici way borrow money attract interest rate second offer institut high-net-worth individu investor robust transpar platform invest consum loan internet alreadi becom primari place individu manag person financ circleback lend believ trend continu especi tradit bank lend institut maintain extrem tight credit polici even credit-worthi borrow also believ profession investor continu deploy capit consum credit diversifi portfolio beyond tradit stock bond,Others,Others,84.93150684931507
355,trustio.in,financi servic financi servic trustio newdelhi-bas peer-to-p lend compani trustio person financi secur net trustio tri creat close alumni communiti member rais money alumni time need varieti reason invest money peer help well make decent return invest,Others,Others,84.93150684931507
106,nationalfunding.com,"financ financi servic fintech financ financi servic fintech nation fund financi technolog solut busi nationwid provid capit financ merchant servic found 1999 nation fund one countri 's lead financi technolog compani small medium-s busi provid work capit loan equip financ merchant cash advanc credit card process nation fund provid 1 billion capit 20,000 busi nationwid compani believ american small busi owner strive provid fast turnaround flexibl solut great servic custom client divers rang industri includ automot construct excav manufactur retail packag print restaur telecommun truck wast manag among other compani recogn inc. 500 5000 list past three year well one san diego busi journal??? fastest grow compani past three year",Others,Others,84.93150684931507
180,incred.com,financi servic financi servic mumbai-bas non-bank financi compani incr credit incred india use technolog data-sci make lend quick simpl hassle-fre incr offer broad portfolio product cut across afford home loan person loan educ loan sme busi loan incr found bhupind singh former head invest bank asia-pacif deutsch bank inform pleas visit www.incred.com,0,Others,84.93150684931507
149,meettally.com,credit card financi servic fintech mobil app credit card financi servic fintech mobil app talli solv problem custom manag multipl credit card talli found 2015 team credit expert engin design believ better credit card experi consum talli first app unbundl credit card put power back hand consum talli consum use credit card without unfair apr cost fee hassl manag multipl card inform visit meettally.com,Others,Others,84.93150684931507
37,privlo.com,bank financ financi servic bank financ financi servic privlo onlin lender well-qualifi borrow fallen crack inher tradit agenc privlo onlin lender well-qualifi borrow fallen crack inher tradit agenc qualifi mortgag qm process heart commonsens approach proprietari decision-mak process valu individu 's uniqu financi pictur privlo offer incred custom experi speed certainti close,Mortgages,Others,84.93150684931507
297,digilend.in,financi servic financi servic digilend analyt technolog marketplac enabl individu like avail unsecur person loan digilend marketplac enabl individu like avail unsecur person loan differ need like educ travel holiday wed home improv debt consolid emerg need etc need cash loan bank loan look provid onlin instant quick loan competit interest rate digilend??? endeavour make get loan easier onlin instant credit evalu connect right lender provid everyon easi conveni access credit,Others,Others,84.93150684931507
0,livecapital.com,financ onlin auction small medium busi financ onlin auction small medium busi livecapit provid onlin small busi financ livecapit offer onlin busi financ servic offer user servic decisionexpress product creat econom benefit autom credit leas decis process integr workflow technolog consult solut enabl enterpris make credit decis improv product achiev sale provid credit custom livecapit u.s.-bas compani found 1996 compani acquir dun bradstreet credibl corpor juli 27 2005,Others,Others,84.93150684931507
25,vittana.org,educ financ lend educ financ lend p2p educ microfin lender vittana make possibl young peopl around world get student loan direct lender like vittana envis world student anywher get student loan attend communiti colleg vocat school colleg 1 thing famili around world want one common univers desir peopl throughout world give children better chanc life make loan vittana re realli two thing yes re enabl student get degre get job immedi giant step toward better life re also someth even bigger re prove world educ matter student loan work one student one loan one job time vittana work background facilit loan make direct student also work forefront global movement bring student loan young peopl throughout world,Education Loans ,Education Loans ,84.93150684931507
265,neighborly.com,financ fintech govtech impact invest softwar financ fintech govtech impact invest softwar neighbor modern access public financ 1 billion dollar per day market fund vital public project like school park neighbor modern access public financ multi-trillion dollar market fund vital public project like school park librari road next-gener public project neighborhood microgrid investor neighbor deliv direct access high-qual world-posit invest opportun issuer neighbor provid platform borrow 's need 's need public project,Others,Others,84.93150684931507
301,autofi.com,automot financi servic point sale automot financi servic point sale autofi point sale solut financ vehicl onlin autofi onlin point sale financ solut allow consum purchas financ vehicl entir onlin seamless user experi autom applic approv process,Auto Loans ,Others,84.93150684931507
257,nav.com,financi servic fintech financi servic fintech nav bridg gap smb financi institut bring transpar certainti effici b2b credit financ nav.com help busi owner get fund lower cost save time creat busi dream app give free access credit report score specif small busi owner includ busi person credit report also provid cash-flow analysi tool help build busi credit marketplac 100 financ product includ credit card nav 's marketplac use lender-neutr algorithm help busi owner find best financ option need appli compani offic silicon valley salt lake citi,Others,Others,84.93150684931507
50,monexo.co,financi servic fintech marketplac peer peer financi servic fintech marketplac peer peer monexo onlin marketplac peer-to-p lend bring togeth lender borrow creat win-win monexo oper onlin peer-to-p lend marketplac small busi employe platform origin borrow lender onlin offlin sale market channel use proprietari screen system review borrow various financi non-financi paramet provid loan offer borrow agre loan offer list marketplac lender view fund allow borrow receiv 48 month futur rental incom subsequ assign rental incom lender launch 2014 monexo oper hong kong china,Others,Others,84.93150684931507
64,ibankers.com,bank financi servic wealth manag bank financi servic wealth manag onlin access curat invest opportun growth-stag compani i-bank direct oper onlin equiti debt fund platform www.ibankers.com allow individu investor institut access proprietari invest opportun curat select privat public emerging-growth compani,Others,Others,84.93150684931507
88,fundera.com,financi servic internet lend financi servic internet lend small busi owner 's best friend fundera place small busi owner go need fund grow busi free easi fast honest industri known opposit fundera strive break mold univers applic marketplac model let busi owner skip ???feel lost??? moment focus realli matters?? ? build busi one simpl applic small busi owner appli industry??? lead lender let compar rate across differ kind loan re alway hire intellig invest passion peopl join team check us fundera.com/job,Others,Others,84.93150684931507
66,cancapital.com,commerci lend financ financi servic fintech commerci lend financ financi servic fintech capit provid capit small medium-s busi use real-tim platform risk-scor model capit provid capit small medium-s busi use real-tim platform risk-scor model daili remitt platform allow lender access daili cash flow borrow collect daili remitt platform give lender window customers??? daili busi reli payment processor split settlement card transact small busi bank capit inc. former known capit access network inc. chang name capit inc. decemb 2013 compani found 1998 base new york unit state,Others,Others,84.93150684931507
9,bilbus.com,financ financ bilbus work capit platform help small busi invoic collect connect commerci lender via singl dashboard bilbus unlock commerci lend smbs give busi visibl work need cash simplifi meet fund gap bilbus work capit platform enabl small busi invoic collect connect commerci lender via singl dashboard,Others,Others,84.93150684931507
184,greenskycredit.com,consum lend credit financi servic consum lend credit financi servic greenski offer fast paperless solut financi servic busi size easi way offer financ everyon anywher easi busi size offer credit custom fast paperless solut,Others,Others,84.93150684931507
158,fenqile.com,e-commerc servic industri shop e-commerc servic industri shop fenqil web-bas onlin shop mall offer wide rang product fenqil web-bas onlin shop mall offer wide rang product mobil phone person comput camera beauti product base shenzhen guangdong china,Others,Others,84.93150684931507
144,sunfunder.com,crowdfund energi financ solar crowdfund energi financ solar sunfund crowdfund platform connect investor high-impact solar project off-grid communiti around world sunfund new crowdfund platform anyon invest high-impact solar project unlock access clean afford energi around world sunfund solv biggest problem face solar busi work deploy afford solar technolog off-grid market access financ sunfund unlock big new sourc capit solar individu investor abl profit invest high qualiti vet project facilit low-cost financ solar busi fund project,Others,Mortgages,84.93150684931507
337,ovamba.com,ovamba platform util peer-to-p lend model allow retail institut lender lend borrow loan ovamba platform use social ???peer-to-peer??? lend model allow retail institut lender lend borrow complet transpar ovamba platform provid liquid risk manag regul local financi firm reduc cost complex usual seen tradit bank system pass save onto ovamba??? member borrow,Others,Others,84.93150684931507
307,canada-payday-loans.com,instant approv onlin payday loan servic canada canada-payday-loan fastest grow onlin payday loan firm canada.w complet understand financi need determin serv best.canada-payday-loan offer hassl free onlin payday loan servic charg fees.your loan approv responsibility.open 24 hour,Others,Others,84.93150684931507
123,loanzen.in,financi servic financi servic loanzen help small busi get unsecur work capit loan pend invoic loanzen help small busi get unsecur work capit loan pend invoic,Others,Others,84.93150684931507
233,hellofloat.com,credit financi servic machin learn credit financi servic machin learn float mobile-first credit experi offer small dollar credit line built bank altern data float mobile-first financi servic help young consum access manag proactiv build credit offer thin-fil consum instant access afford line credit direct smartphon fico requir,Others,Others,84.93150684931507
168,funding-university.com,educ lend educ lend fund u prefer no-cosign fafsa non-fico base student lender hardwork career focus colleg student fund univers fund univers privat student lender serv hardwork career driven undergradu parent lender depend fico score cosign fund univers assess student??? credit worthi base career track amp post-colleg earn potenti fund u take applic waitlist next school year fund expand avail lend student nationwid learn visit? www.funding-university.com visit funding-university.com,Education Loans ,Education Loans ,84.93150684931507
143,startwise.com,crowdfund financ financi servic crowdfund financ financi servic startwis crowdfund platform make revenu share invest access everyon startwis make revenu share invest deal access everyon startwis revenu share marketplac everyon regardless incom invest expertis becom investor compani care start 100 model simpl invest 100 deal compani pay fix revenu everi 3 month reach maximum payout rang 110 250 depend deal term empow peopl bank invest made simpl,Others,Others,84.93150684931507
29,zidisha.org,micro lend non profit social entrepreneurship micro lend non profit social entrepreneurship zidisha microlend communiti direct connect lender borrow platform zidisha peer-to-p lend servic connect individu lender direct microfin borrow low-incom countri zidisha base convict small-scal entrepreneur develop countri capabl interact respons peer-to-p lender via self-regul web platform without need local intermediari communic manag loan transact behalf though microlend websit allow individu contribut fund toward microloan choic reli local microfin organ communic lender creat loan applic collect repay intermedi microlend platform communic one way borrow often unawar lender fund loan averag intermediari organ add 30 sometim much 100 fee interest loan rais websit cover administr expens high interest rate reduc borrow profit sometim point make poorer receiv loan unlik post microlend platform loan applic comment post zidisha 's loan page written borrow open way dialogu lender borrow lender receiv answer inquiri loan busi direct entrepreneur fund elimin unnecessari intermediari also decreas cost loan averag zidisha borrow pay 8 flat rate annual interest fee includ interest paid lender far rate tradit charg microfin loan develop countri reduc interest cost allow entrepreneur keep profit loan greater impact reduc poverti,Micro Finance ,Others,84.93150684931507
253,mortgagehippo.com,real estat real estat mortgagehippo end-to-end solut autom streamlin mortgag process break easy-to-follow step mortgagehippo provid recommend person result expert advic help individu make suitabl mortgag choic launch januari 2013 oper chicago illinoi,Others,Others,84.93150684931507
283,lendup.com,financ fintech lend financ fintech lend lendup social respons lender 56 american shut mainstream bank due low credit volatil incom lendup??? mission provid anyon path better financi health build technolog credit product educ experi 56 us popul shut mainstream bank poor credit volatil incom technolog built in-hous current offer sever type credit product includ loan credit card emb educ product avail credit build opportun help borrow improv long-term financi health break vicious debt cycl found two step-broth ceo sasha orloff cto jake rosenberg sasha put ???fin??? fintech work citi world bank grameen bank jake put ???tech??? fintech platform cto zynga 29 began work yahoo age 16 employe 80,Others,Credit rating platforms,84.93150684931507
214,indifi.com,busi intellig fintech transact process busi intellig fintech transact process lend product integr busi cash flow transact linkag segment lend product integr busi cash flow transact linkag segment,Others,Others,84.93150684931507
260,microf.com,consum financi servic fintech payment consum financi servic fintech payment microf??? first-to-market rto product provid unmatch flexibl consum microf relationship-bas compani give prioriti want need custom offer rental purchas financ option wide rang consum innov rent-to-own strategi provid flexibl consum limit declin quick respons time multipl payment option various contract term choic microf establish 2010 accommod grow demand flexibl option replac residenti heat cool system,Others,Others,84.93150684931507
220,letsmd.com,fit health care well fit health care well letsmd.com marketplac elect surgeri letsmd hope chang way peopl access healthcar india price transpar healthcar price india black hole aim provid avenu prospect patient connect ethic healthcar servic provid offer transpar price found advis peopl decad experi healthcar letsmd aim go destin peopl seek high qualiti healthcar afford price,Others,Others,84.93150684931507
162,bizfi.com,financ fintech lend financ fintech lend bizfi 's connect marketplac provid multipl financ option real-tim pre-approv busi near decad merchant cash capit llc industri leader provid altern tradit fund sourc innov provid merchant cash advanc financi servic busi retail restaur servic industri mcc affili special offer uniqu avenu fund ???purchasing??? small fix percentag futur credit card revenu advanc money qualifi busi up-front mcc philosophi seek fund option almost everi busi qualifi regardless credit histori string attach hassl hidden fee unreason repay requir mcc seek partner help busi reach potenti provid fund requir,Others,Others,84.93150684931507
309,cgtz.com,risk manag risk manag cgtz,Others,Others,84.93150684931507
10,lendfriend.com,payment payment lendfriend offer softwar product provid support user loan??? creation propos approv repay lendfriend fintech startup focus undeserv lend market team built 3 product onlin p2p lend platform target friend famili grew 3mm+ loan multipl underwrit model util proprietari data tradit brick mortar high-interest lender identifi custom profil target larger loan lower interest rate loan repay disproport credit score onlin platform match high-risk borrow aggreg network onlin lender place loan prepaid card product 's purpos bank underbank lendfriend part ** angelpad http //angelpad.org 3** 2011,Others,Education Loans ,84.93150684931507
153,creditvidya.com,credit financi servic machin learn person financ risk manag credit financi servic machin learn person financ risk manag creditvidya startup analyz data get credit score creditvidya believ power altern data technolog help lender make accur credit decis mission simpl enabl access fair transpar credit 800 million un-scor indian bunch engin sole mission enabl access fair transpar credit 800 million+ un-scor indian tradit method credit asses fail miser india outdat method look repay histori individu give credit score creditvidya har power big data advanc machin learn techniqu re-imagin re-build credit score,Credit rating platforms,Credit rating platforms,84.93150684931507
100,modernlend.com,consum lend credit card financ financi servic fintech lend consum lend credit card financ financi servic fintech lend onlin lender use altern data metric lend creditworthi intern citizen modernlend provid credit card intern student worker u.s. understand educ employ financi background determin creditworthi without requir ssn fico credit score launch first credit card tailor intern citizen summer 2016 found wharton busi school bring 10+ year experi goldman sach well fargo seed stage fund portfolio compani entrepreneur roundtabl acceler bbva bank??? global fintech competit 650 startup learn www.modernlend.com,Others,Others,84.93150684931507
319,guaranteedrate.com,financ financi servic person financ financ financi servic person financ guarante rate provid mortgag lend servic home loan home mortgag refinanc servic,Mortgages,Mortgages,84.93150684931507
1,apnapaisa.com,credit financ internet marketplac credit financ internet marketplac apnaloan onlin marketplac provid home loan person loan credit card custom india apnaloan onlin marketplac home loan person loan credit card india idea apnaloan bank compet loan turn mean get better rate compani say apnaloan `` largest onlin marketplac loan credit card '' http //www.dialabank.com/emi-calculator.cfm,Others,Others,84.93150684931507
126,financebuddha.com,financ financi servic fintech financ financi servic fintech financi servic product startup,Others,Others,84.93150684931507
267,gopaysense.com,financi servic fintech inform technolog financi servic fintech inform technolog paysens fintech startup focus bring innov financi servic indian consum paysens fintech startup focus bring innov financi servic indian consum,Others,Others,84.93150684931507
