,Test_document,Expected_result,decision_model_7,decision_model_7_accuracy
221,internet lend peer peer internet lend peer peer lenden club lead peer peer lend platform india connect wealthi investor creditworthi borrow lenden club peer peer lend marketplac person loan current era mobil endeavour take tradit lend process onlin make benefici easi hassle-fre financ technolog team zeal innov blend experi resolv real world challeng face lender borrow platform lenden club ensur elimin high cost intermediari institut bring monetari benefit lender borrow earn charg transpar fee borrow and/or lender,Personal loans,Personal loans,40.54054054054054
183,financ fintech lend financ fintech lend fundat onlin direct lender offer simpl interest small busi loan compani technolog driven process bank offer busi loan fundat offer busi loan faster fundat altern lender provid small busi loan fix rate simpl interest technolog streamlin small busi loan applic process collect third parti data autom major credit review process deliv fund quick possibl leader altern busi financ understand everi busi uniqu specif need fundation??? custom small busi loan ensur receiv appropri term payment option specif industri company??? need provid follow industry-specif small busi fund solut ??? auto repair shop loan ??? gas station loan ??? day care center fund ??? medic practic loan ??? chiropract busi loan ??? dental practic loan ??? physician practic loan ??? veterinari practic financ ??? health care busi loan ??? hotel motel financ ??? restaur loan ??? pharmaci loan ??? law firm financ ??? insur agenc financ ??? vineyard breweri financ ??? liquor store financ ??? funer home financ ??? self-storag financ whether need busi expans loan cash flow financ work capit loan fundat small busi financ solut help compani achiev goal also offer inventori loan help keep busi fulli stock refin loan help repay exist loan acquir better term interest rate matter use altern busi loan fundat expect support throughout entir small busi financ process custom relationship manag work close understand uniqu situat find best fund solut compani continu support long run reach goal contact fundat inform appli small busi loan today,Term loans,Working Capital ,40.54054054054054
338,financ financi servic residenti financ financi servic residenti inc 500 magazin recogn financi servic firm special residenti mortgag refin purchas strive provid best custom experi search home loan whether still process shop alreadi start loan process us work hard earn busi believ busi earn loan close complet satisfi network capit recent name one best place work orang counti fourth annual program creat orang counti busi journal best compani group actual rank publish orang counti busi journal??? special report best place work octob 29 2012 issu orang counti busi journal* proud say employe work hard like support technolog partner oracl redhat microsoft cisco abl provid best class home loan deliveri platform servic client system match best home loan situat alway think way make thing easi even close sign close document electron anywher countri airport live room it??? simpl although invest technolog understand client peopl network capit home loan specialist alway avail answer question home loan specialist among best industri averag eight year mortgag bank experi overal 98 custom satisfact rate dedic home loan specialist deliv promis high qualiti servic pick phone give us call let us prove made best choic lender,Others,Term loans,40.54054054054054
261,financi servic fintech financi servic fintech nav bridg gap smb financi institut bring transpar certainti effici b2b credit financ nav.com help busi owner get fund lower cost save time creat busi dream app give free access credit report score specif small busi owner includ busi person credit report also provid cash-flow analysi tool help build busi credit marketplac 100 financ product includ credit card nav 's marketplac use lender-neutr algorithm help busi owner find best financ option need appli compani offic silicon valley salt lake citi,Lead generation platform,Term loans,40.54054054054054
345,financ financ principi capit provid work capit small busi need help grant base credit score principi capit provid merchant cash advanc deal single-employe servic provid small medium-s busi base new york serv wide rang industri throughout entir unit state canada,Working Capital ,Term loans,40.54054054054054
241,"credit financ fintech small medium busi credit financ fintech small medium busi abl lowest-cost onlin lender small busi loan nation partner network provid loan 25k- 1mm abl lowest-cost onlin lender small busi nation passion fund busi stage new kind loan let borrow get capit lower rate recruit support friend famili fan averag able??? borrow save 31,000 loan 25,000 1,000,000 abl ???more loan.??? connect extraordinari entrepreneur addit capit communiti resourc expert advic it??? time grow learn nomin favorit busi get pre-approv 1 minut visit www.ablelending.com",Term loans,Term loans,40.54054054054054
82,"fintech marketplac real estat real estat invest fintech marketplac real estat real estat invest re onlin marketplac real estat invest connect borrow sponsor individu institut investor realtymogul.com onlin marketplac real estat invest connect borrow sponsor capit accredit institut investor onlin platform realtymogul.com give borrow access debt capit sponsor access equiti capit investor tool brows invest due dilig invest onlin realtymogul.com offer bridg perman loan joint ventur equiti 80,000 regist investor call realtymogul.com member devot communiti invest 200 million 350 properti valu 800 million effort receiv million distribut accredit institut investor look diversifi portfolio realtymogul.com offer fast easi frictionless platform serv 21st centuri bridg connect previous inaccess invest opportun real estat invest sponsor look rais joint ventur equiti borrow look flexibl debt realtymogul.com provid access equiti debt would like take sever month secur tradit mean ???traditional??? mean ???slow??? ???restrictive??? whether accredit institut investor want diversifi portfolio across real estat asset class borrow search flexibl loan real estat invest sponsor look rais joint ventur equiti join realti mogul today take real estat invest 21st centuri",Term loans,Term loans,40.54054054054054
316,confid financi solut cfs offer highest qualiti financi solut automot servic center custom,Personal loans,Lead generation platform,40.54054054054054
13,financ financ yatto social fund platform enabl user organ social fund circl use facebook account yatto new social fund platform base trust reput social inner circl yatto let organ social fund circl a.k.a yatto use facebook account invit trust friend famili peer dear one everi particip yatto receiv social fund group differ date make his/her dream come true fulfil person caus famili urgenc educ cost healthcar travel comput kid endeavor worldwid caus etc,Personal loans,Others,40.54054054054054
25,educ financ lend educ financ lend p2p educ microfin lender vittana make possibl young peopl around world get student loan direct lender like vittana envis world student anywher get student loan attend communiti colleg vocat school colleg 1 thing famili around world want one common univers desir peopl throughout world give children better chanc life make loan vittana re realli two thing yes re enabl student get degre get job immedi giant step toward better life re also someth even bigger re prove world educ matter student loan work one student one loan one job time vittana work background facilit loan make direct student also work forefront global movement bring student loan young peopl throughout world,Others,Others,40.54054054054054
95,bank credit financ bank credit financ balanc credit built thing don???t go accord plan balanc credit onlin lender provid famili individu person instal loan credit servic offer clear rate term toll-fre custom support abil pay earli penalti time balanc credit licens regul u.s. state oper found 2013 base irv texa,Personal loans,Personal loans,40.54054054054054
296,consum lend financi servic fintech consum lend financi servic fintech bread partner retail offer pay-over-tim solut make financ easier transpar bread partner retail offer pay-over-tim solut make financ easier transpar use technolog advanc consumer-friend credit improv access transpar ease-of-us cost product help merchant partner grow sale make product access consum bread found 2014 base new york ny,Purchase Financing ,Personal loans,40.54054054054054
366,welcom invest crowd-fund platform,Term loans,Working Capital ,40.54054054054054
244,consum lend credit fintech mobil payment consum lend credit fintech mobil payment data driven onlin lend product purchas financ instal machin learn base credit score redcarpetup lend custom india bank see india credit financ compani abl servic less 10 custom base data widespread credit bureaus profil score custom redcarpet access much data includ data mobil phone use data servic custom never access credit today custom segment young future-prim student colleg use redcarpetup find credit fund onlin purchas ecommerc travel etc tomorrow hope unlock credit india,Purchase Financing ,Purchase Financing ,40.54054054054054
49,colleg recruit educ financi servic web develop colleg recruit educ financi servic web develop connect busi talent talent fund educ chang way fund educ train hire move past job site agenc us coderloan connect talent aspir coder compani look junior develop re student profession look career chang program help find right train program busi hire manag platform make easi identifi candid skill educ best match junior posit,Others,Term loans,40.54054054054054
368,ynera financi servic financi servic compani provid busi loan financ etc,Working Capital ,Term loans,40.54054054054054
239,"big data credit financi servic inform technolog mobil softwar big data credit financi servic inform technolog mobil softwar tala mobil technolog data scienc compani revolution financi servic emerg market tala innov fast-pac mobil technolog start-up provid credit score report platform financi servic institut emerg countri tradit credit n't work emerg market mobil technolog unlock trillion dollar purchas power world??? fastest grow economi tala mobil technolog data scienc compani flip tradit credit score model put power hand newli empow consum emerg market mobil app uniqu channel gather averag 10,000 discret data point per user provid person offer deliv real-tim credit",Others,Others,40.54054054054054
192,financi servic onlin auction peer peer financi servic onlin auction peer peer firstp2p chines onlin peer-to-p p2p financ site first p2p limit onlin financ marketplac match borrow investor compani base china,Term loans,Personal loans,40.54054054054054
223,clean energi energi energi effici clean energi energi energi effici provid turnkey properti assess clean energi pace program citi counti commerci ygrene energi fund nation??? lead multi-st provid residenti commerci properti assess clean energi financ award-win privat fund ygrenework program provid immedi access financ upfront cost energi effici renew water conserv certain area hurrican protect electr vehicl charg station seismic upgrad ygrene commit make easi famili invest futur healthier environ next five year ygrenework project creat ten thousand local job invest hundr million local economi,Others,Working Capital ,40.54054054054054
231,consum lend credit financ consum lend credit financ credibl multi-lend marketplac allow borrow receiv competit loan offer vet lender credible??? found principl provid borrow level transpar deserv multi-lend marketplac allow borrow receiv competit loan offer vet lender credibl empow consum take control student loan borrow fill one form receiv compar person offer numer lender choos best serv individu need credibl fierc independ commit deliv fair unbias solut student lend,Others,Personal loans,40.54054054054054
227,e-commerc inform technolog payment e-commerc inform technolog payment financi servic p2p rental market pay fintech startup base brooklyn ny.w offer airbnb host possibl receiv money book whenev need it.when guest book futur stay airbnb host get paid first night mean host wait day week even month receiv money,Working Capital ,Purchase Financing ,40.54054054054054
146,crowdfund financ financi servic crowdfund financ financi servic startwis crowdfund platform make revenu share invest access everyon startwis make revenu share invest deal access everyon startwis revenu share marketplac everyon regardless incom invest expertis becom investor compani care start 100 model simpl invest 100 deal compani pay fix revenu everi 3 month reach maximum payout rang 110 250 depend deal term empow peopl bank invest made simpl,Working Capital ,Working Capital ,40.54054054054054
257,real estat real estat mortgagehippo end-to-end solut autom streamlin mortgag process break easy-to-follow step mortgagehippo provid recommend person result expert advic help individu make suitabl mortgag choic launch januari 2013 oper chicago illinoi,Term loans,Others,40.54054054054054
86,crowdfund small medium busi crowdfund small medium busi mission lead communiti capit transform mission lead communiti capit transform investnextdoor creat first community-engag capit marketplac marketplac creat new sourc reason price capit small busi better return main street investor longev community-bas bank credit union focus communiti first amplifi econom effect consum invest small busi keep benefit borrow lifecycl within given communiti educ access transpar fair core valu start investnextdoor believ us borrow invest model broken ve hit reset button start fresh go back basic ve made better ve made social fun impact re brand new kind financi servic compani ve alreadi made thing better,Term loans,Term loans,40.54054054054054
281,financi servic internet ventur capit financi servic internet ventur capit lendingkart onlin financ compani lendingkart onlin financ compani dedic help entrepreneur small busi work capit loan use analyt big data score evalu customer??? busi small motiv team banker data scientist techi tri make differ world small busi financ,Working Capital ,Working Capital ,40.54054054054054
169,e-commerc financi servic payment e-commerc financi servic payment credit key patent pay-over-tim financ solut e-commerc merchant credit key patent pay-over-tim financ solut e-commerc merchant,Purchase Financing ,Personal loans,40.54054054054054
247,credit financ financi servic fintech internet lend person financ credit financ financi servic fintech internet lend person financ upstart fund platform mentor network match student backer believ potenti upstart goe beyond fico score offer person loan compani 's proprietari underwrit model identifi high-qual borrow despit limit credit employ histori use variabl includ school attend area studi academ perform work experi upstart offer 3-year 5-year fix interest loan primarili use pay credit card consolid debt elimin student debt start busi pay person develop bootcamp,Personal loans,Others,40.54054054054054
348,revers vision softwar develop revers mortgag industri,Others,Others,40.54054054054054
16,financ financ alltuit onlin search engin enabl collag student find sourc financi aid alltuit onlin search engin enabl collag student find sourc financi aid track hundr student loan provid help student find best loan elig understand real cost borrow,Lead generation platform,Lead generation platform,40.54054054054054
280,financi servic lend small medium busi financi servic lend small medium busi ziploan onlin lend platform ziploan rbi regist nbfc technolog enabl on-lin lend platform establish provid small busi loan small busi loan segment ignor financi institut given granular peculiar small busi poor cost benefit trade-off respect sourc underwrit small loan,Working Capital ,Term loans,40.54054054054054
313,financi servic inform technolog payment financi servic inform technolog payment carecap cloud-bas payment manag system enabl busi provid custom easi custom autom payment plan grow number consum lack abil pay in-ful need good servic point purchas carecap cloud-bas payment manag system enabl busi provid custom easi custom autom way pay time -- e-invo -- subscript -- payment plan,Others,Working Capital ,40.54054054054054
51,financi servic fintech marketplac peer peer financi servic fintech marketplac peer peer monexo onlin marketplac peer-to-p lend bring togeth lender borrow creat win-win monexo oper onlin peer-to-p lend marketplac small busi employe platform origin borrow lender onlin offlin sale market channel use proprietari screen system review borrow various financi non-financi paramet provid loan offer borrow agre loan offer list marketplac lender view fund allow borrow receiv 48 month futur rental incom subsequ assign rental incom lender launch 2014 monexo oper hong kong china,Personal loans,Personal loans,40.54054054054054
72,financ financi servic small medium busi financ financi servic small medium busi rongzi enabl offlin financi institut provid loan found 2010 shanghai-headquart rongzi enabl offlin financi institut provid loan small medium-s enterpris,Term loans,Term loans,40.54054054054054
299,clean energi financ fintech renew energi clean energi financ fintech renew energi renew financi found 2008 cisco devri origin idea properti assess clean energi pace financ model renew financi provid financ solut help effici renew energi contractor grow busi promot energi independ aim develop advanc financ design transform america??? economi clean energi company??? financ product includ pace financ model warehous energi effici loan open residenti energi effici financ market larg institut investor found 2008 cisco devri renew financi partnership solarc target small- medium-s busi util pace,Others,Lead generation platform,40.54054054054054
14,"crowdfund financ fintech crowdfund financ fintech endur lend network web-bas lender small medium busi unit state endur lend network web-bas lender focus small medium busi unit state provid loan 25,000 500,000 high-qual entrepreneur look expans capit equip purchas general need",Term loans,Working Capital ,40.54054054054054
317,financi servic financi servic credit sudhaar credit health manag compani review credit score individu help improv credit sudhaar onlin platform provid client credit advisori servic also offer financi product custom match users??? credit profil credit sudhaar provid client various credit financi tool free credit score credit score simul wide rang analyt assess help in-depth understand current credit status headquart mumbai maharashtra credit sudhaar offic bangalor kolkata found gaurav wadhwani arun ramamurthi 2010,Others,Personal loans,40.54054054054054
157,credit financi servic machin learn person financ risk manag credit financi servic machin learn person financ risk manag creditvidya startup analyz data get credit score creditvidya believ power altern data technolog help lender make accur credit decis mission simpl enabl access fair transpar credit 800 million un-scor indian bunch engin sole mission enabl access fair transpar credit 800 million+ un-scor indian tradit method credit asses fail miser india outdat method look repay histori individu give credit score creditvidya har power big data advanc machin learn techniqu re-imagin re-build credit score,Others,Personal loans,40.54054054054054
45,financ publish ventur capit financ publish ventur capit open book ben altern tradit busi credit bureau open book ben altern tradit busi credit bureau build on-lin communiti small medium-s busi `` '' smbs '' '' collabor share creditworthi busi intellig system beta sever financi institut compani use feedback ben democrat access creditworthi type import busi data smbs struggl near everi aspect busi credit exist credit bureaus often fail score smbs accur small firm even show databas sinc afford solut busi credit data smbs suffer huge write off 64 billion last year ben solut problem discuss platform attract altern credit bureaus ben also offer power market lead gen tool also offer greatly-need smb suppli chain tool `` '' vendor worth '' '' score help smbs assess qualiti b2b vendor,Others,Working Capital ,40.54054054054054
20,e-commerc financi servic lend e-commerc financi servic lend smartbiz loan www.smartbizloans.com uniqu combin onlin sba loan marketplac bank enabl technolog platform smartbiz loan 1 onlin sba loan marketplac small busi loan intellig technolog platform make appli sba loan fast easi increas likelihood approv small busi match borrow sba prefer lend bank like fund particular busi 90 95 loan smartbiz refer bank partner get fund bank partner use smartbiz platform origin underwrit sba loan compliant manner also process loan 70 90 effici base financi district san francisco smartbiz loan privat held compani found 2009 team experienc financi servic entrepreneur back lead ventur capit firm includ investor growth capit venrock first round capit baselin ventur softtech vc,Term loans,Term loans,40.54054054054054
60,fintech person financ ventur capit fintech person financ ventur capit 321lend inc. form earli 2014 san francisco ca three experienc profession financ technolog manag 321lend inc. form earli 2014 san francisco ca three experienc profession financ technolog manag consult founder graduat uc berkeley work hedg fund start-up technolog consult firm goal 321lend build onlin financi communiti connect creditworthi borrow savvi investor order facilit better lend rate lower loan default rate continu innov web applic busi strategi compani made signific progress build platform lay foundat launch busi compani current near complet fund abl oper peer peer lend platform though peer-to-p lend industri one fastest grow industri us estim 5b cagr 100 still cover 1 total credit card market 669b sinc 321lend found march 2014 compani achiev follow complet front end websit attract potenti borrow lender near complet back end platform autom transact built proprietari interest rate model prepar complianc document fcra fdca tila ecoa other secur relationship bank partner origin loan final discuss credit rate agenc front end websit launch http //www.321lend.com receiv numer inquir lender borrow,Personal loans,Personal loans,40.54054054054054
208,big data databas financi servic big data databas financi servic quantgroup financi big data compani,Others,Others,40.54054054054054
341,artifici intellig credit lend artifici intellig credit lend optacredit artifici intelligence-pow data-driven onlin lender optacredit artifici intellig power data-driven onlin lender employe work organis partner us driven abil use data underwrit provid short term unsecur loan employe everi elig applic right get access time credit belief base truli understand applic assimil data various sourc ?? ? public privat rather profil within meaningless categori believ applic ratio number uniqu credit servic platform allow firm two prong advantag one provid firm partner us abil unleash true potenti make optimum use work capit two employe welfar scheme avail firm zero cost,Working Capital ,Others,40.54054054054054
121,financ financi servic fintech lend financ financi servic fintech lend credibl emerg fintech platform credibl former known retailcapit credibl emerg fintech platform leverag data scienc technolog manic focus custom experi creat uniqu lend capit platform order serv small medium busi trust commit partner,Term loans,Working Capital ,40.54054054054054
99,financi servic fintech small medium busi financi servic fintech small medium busi ecg provid loan small busi u.s. histor underserv tradit financi institut expans capit group llc ???ecg??? provid loan small busi u.s. histor underserv tradit financi institut may experienc challeng obtain afford time financ compani develop technolog platform use predict model data aggreg electron payment technolog enabl servic target market tradit lender general focus small busi owners??? person credit histori ecg focus small busi owners??? person credit histori also perform small busi use broad array tradit nontradit data sourc compani develop proprietari end-to-end lend platform includ onlin base origin platform proprietari credit score model autom collect platform collect ach payment merchant,Working Capital ,Working Capital ,40.54054054054054
322,expans capit group valu partner expans capit solut,Working Capital ,Personal loans,40.54054054054054
304,fintech payment fintech payment simpl 's mission make money simpl peopl live well amaz thing simpl??? mission make money simpl peopl live well amaz thing simpl??? first product payment option let skip pay repeat instead pay later multipl order one go multipl verif payment failur fumbl chang order arriv,Purchase Financing ,Purchase Financing ,40.54054054054054
133,crowdfund financ fintech lend person financ crowdfund financ fintech lend person financ first marketplac lender u. prosper marketplac help peopl get top financ prosper??? mission advanc financi well-b company??? onlin lend platform connect peopl want borrow money individu institut want invest consum credit borrow get access afford fixed-r fixed-term person loan investor opportun earn solid return via data-driven underwrit model date 10 billion person loan origin prosper platform debt consolid larg purchas home improv project medic expens special occas prosper marketplac inc. found 2005 headquart san francisco lend platform own prosper fund llc subsidiari prosper marketplac inc. loan origin prosper marketplac made webbank member fdic visit www.prosper.com follow prosperloan learn prosper note offer prospectus,Personal loans,Personal loans,40.54054054054054
87,bank financ financi servic bank financ financi servic smecorn onlin platform enabl smes access loan easili bank nbfcs smecorn onlin platform enabl small medium enterpris access loan bank nbfcs smecorner.com found samir bhatia sneha shah base mumbai maharashtra,Lead generation platform,0,40.54054054054054
252,"financi servic fintech person financ financi servic fintech person financ perfio softwar solut pvt ltd. offer end user track monitor manag person financ littl manual intervent perfio person financ one stop ?? ? www.perfios.com newag fintech compani provid innov solut person financ relat area b2c person financ manag pfm solut provid perfio offer 360 degre view one??? person financ autom way let end user track monitor manag financ littl manual intervent alreadi 5,00,000 regist user deploy 6 year perfio leverag core technolog autom key aspect certain common busi process financi institut perfio insight b2b solut use various bank nbfcs corpor autom entir process financi check verif extract kyc detail current manual done perfio insight help dramat improv turn-around time process applic loan credit card insur etc whether origin offlin onlin channel thus delight prospect client result entir oper process improv result lower cost higher accuraci superior user experi result increas user acquisit process involv financi verif underwrit benefit use perfio solut perfio support 1000+ differ type e-stat 250+ financi institut automat fetch platform b2c b2b solut use various bank nbfcs corpor well end user b2c solut",Others,Lead generation platform,40.54054054054054
124,fintech person financ fintech person financ offer student loan employ benefit student loan genius help compani reach next level recruit retent student loan genius work improv financi outlook employe student loan empow compani help employe reduc student loan debt company??? fix pay match approach simplifi complex problem associ student loan debt reconnect employ employe help busi grow employe retent recruit offer person advic help employe design custom plan meet goal handl payment payrol implement strategi pay loan provid match contribut toward employees??? student loan student loan genius establish 2013,Others,Personal loans,40.54054054054054
196,financi servic health care servic industri financi servic health care servic industri finris provid financ option treatment servic cover insur direct doctor 's offic finris mission increas access qualiti healthcar suit transpar financi product start patient dental vision audiolog veterinari servic patient deserv better we???r commit put patient empower custom servic forefront healthcar lend everi day patient receiv instant transpar term loan right doctor 's offic onto phone expand reach finris look beyond simpl fico score creat 30 year ago era smartphon internet access finris empow doctor treat without limit afford combin care coverag chang we???r build solut doctor prefer patient,Personal loans,Personal loans,40.54054054054054
56,e-commerc financi servic fintech internet retail e-commerc financi servic fintech internet retail aixuedai aixuedai onlin payment platform financ purchas consum electron made colleg student mainland china launch decemb 2012 allow student buy item phone tablet laptop camera use month instal plan custom need two photo id one student id appli loan find item want e-commerc site past url applic choos number month want pay money back option desir payment,Purchase Financing ,Purchase Financing ,40.54054054054054
232,financi servic financi servic tempo found 2009 one man employe spent countless hour creat new way peopl take merchandis tempo found 2009 one man employe spent countless hour creat new way peopl take merchandis home simpl approv process credit requir tempo grown home basement oper multi-offic nation provid credit requir shop sever payment option,Purchase Financing ,Personal loans,40.54054054054054
54,consum e-commerc search engin consum e-commerc search engin taodangpu e-commerc websit focus abandon pawn item pawnshop taodangpu ????? ? ? ? ? e-commerc websit focus abandon pawn item pawnshop help pawnshop display item make conveni consum understand search purchas item taodangpu subordin shanghai jade diamond e-commerc,0,Purchase Financing ,40.54054054054054
190,financi servic financi servic finlock consumer-en ???nancial locker reduc cost risk lender via action ???nancial inform finlock financi servic technolog innov found team season veteran lead execut across financi servic technolog industri time consum financi servic industri face heighten regulatori scrutini innov solut need ever finlock offer solut capabl improv loan process origin servic even beyond,Others,Personal loans,40.54054054054054
58,"fintech small medium busi fintech small medium busi bolstr marketplac emerg consum retail manufactur busi rais fund expans real investor bolstr marketplac emerg consum retail manufactur busi rais fund expans real investor use uniqu revenu share invest structur design help busi rais growth fund investor maintain equiti make month payment proport gross sale volum mean busi never get squeez season sale cycl work exchang fund investor entitl receiv fix percentag busi revenu month paid back predetermin multipl invest exampl let 's say busi rais 100,000 agre share 3 revenu investor earn 1.2x invest back scenario investor would receiv 3 busi revenu paid month paid back 120,000 100,000 x 1.2x bolstr news visit bolstr.com/press latest bolstr news video vault bolstr believ often emerg busi overlook overlook capit overlook guidanc overlook success creat vault impart action advic experi lesson learn real expert built scale consum retail manufactur busi vault first public establish busi owner refus accept status quo strive take oper new level group innov game changer vault provid access wealth valuabl insight growth expert matter visit vault bolstr.com/the-vault",Working Capital ,Term loans,40.54054054054054
272,ezcr new age technolog base consum lend platform ezcr new age technolog base consum lend platform 's look reach borrow look consum loan match lender best fit transact borrow need loan,Purchase Financing ,Lead generation platform,40.54054054054054
188,consum lend credit financi servic consum lend credit financi servic greenski offer fast paperless solut financi servic busi size easi way offer financ everyon anywher easi busi size offer credit custom fast paperless solut,Purchase Financing ,Term loans,40.54054054054054
246,rupi urban microfin offer loan entir mobil,Personal loans,Personal loans,40.54054054054054
205,financ fintech financ fintech itouzi offer websit enabl individu busi find invest inform financi product itouzi.com ????????? p2p financ servic websit base mortgag guarante itouzi attach invest financ beij network technolog co. ltd. built elit team work financi internet industri mani year internet financi websit itouzi.com provid individu safe transpar conveni high-return invest financ project compani loan project undergon strict offlin audit,Working Capital ,Others,40.54054054054054
134,analyt bank fintech softwar analyt bank fintech softwar consum credit analyt manag tool onlin creditseva.com onlin consum credit analyt manag tool help individu build healthi credit profil enabl user track report error instant communic bank credit bureaus get custom option build credit score also allow user settl old account rectifi error protect ident fraud set remind various financi transact creditseva.com launch 2011 base hyderabad india,Others,Personal loans,40.54054054054054
363,chariti chariti graduat generat beyond poverti graduat generat beyond poverti,Others,Personal loans,40.54054054054054
364,financi servic fintech risk manag financi servic fintech risk manag wanglibao focus accumul industri data enterpris inform wanglibao chines peer-to-p lend platform sell person financi product wealth manag product trust product mutual fund research develop team wanglibao 's financi product cover 20 citi across countri focus accumul industri data enterpris inform found 2014 compani receiv fund shenzhen-list hong opto-electron idg capit partner,Working Capital ,Personal loans,40.54054054054054
110,bank financ marketplac bank financ marketplac onlin marketplac connect accredit investor middle-market debt,Term loans,Lead generation platform,40.54054054054054
