,Test_document,Expected_result,knn_model_9,knn_model_9_accuracy
118,"e-commerc energi power grid e-commerc energi power grid found 2001 purchas power offer becom one countri 's premier purchas program employe found 2001 purchas power offer becom one countri 's premier purchas program employe atlanta-bas compani tap `` fastest-grow '' list sever lead busi public includ entrepreneur inc. magazin date purchas power servic 400,000 order employe lead compani organ across u.s. fortun 500 govern agenc",Others,Mortgages,82.08955223880598
155,financi servic lend payment financi servic lend payment china-bas p2p lend platform weidai earli stage person credit system base china peer-to-p lend servic use vehicl collater weidai plan expand use properti collater provid person loan well,Others,Others,82.08955223880598
8,financ fintech financ fintech lendinero compani provid short term alternative-fund small medium size exist busi lendinero ventur capit firm provid short-term fund solut smes ancillari servic assist client view manag account cloud addit firm offer rang financi solut smes includ lendireno loan merchant cash advanc loan sba loan addit firm also carri advisori servic assist client obtain financ lendinero found 2011 gil zapata base florida,Others,Others,82.08955223880598
168,busi develop financ fintech market research busi develop financ fintech market research neogrowth credit pvt ltd non-deposit take nbfc regist rbi provid short term busi loan indian merchant neogrowth oper non-bank financi compani india focus meet financi need small busi sell good servic consum offer busi financ servic small- medium-s retail compani sell apparel consum durabl electron item footwear accessori handicraft gift food groceri item optic good well restaur beauti salon hotel gymnasium health diagnost center neogrowth began commerci oper 2013,Others,Others,82.08955223880598
339,nation??? lead financi servic firm connect merchant divers experienc privat busi lender,Others,Others,82.08955223880598
167,app credit financi servic app credit financi servic taplend financi help platform give access fast safe 100 onlin loan provid peopl financi institut taplend financi help servic peopl get 2500 pound minut provid friend lend compani problem it??? solv fair common us ?? ? situat need money urgent get ???right now??? compani found 1 year ago sinc time taplend??? team achiev lot ?? ? particip three acceler program technat usa/kazakhstan hub raum deutsch telekom poland sellalab itali collabor level39 uk last one still go finish decemb london mechan taplend quit plain one user download applic set desir amount money return term submit detail inform send request via servic friend credit compani request accept take 2 minut averag money come user??? bank account mobil wallet,Others,Others,82.08955223880598
196,financi servic health care servic industri financi servic health care servic industri finris provid financ option treatment servic cover insur direct doctor 's offic finris mission increas access qualiti healthcar suit transpar financi product start patient dental vision audiolog veterinari servic patient deserv better we???r commit put patient empower custom servic forefront healthcar lend everi day patient receiv instant transpar term loan right doctor 's offic onto phone expand reach finris look beyond simpl fico score creat 30 year ago era smartphon internet access finris empow doctor treat without limit afford combin care coverag chang we???r build solut doctor prefer patient,Others,Others,82.08955223880598
184,financi servic financi servic mumbai-bas non-bank financi compani incr credit incred india use technolog data-sci make lend quick simpl hassle-fre incr offer broad portfolio product cut across afford home loan person loan educ loan sme busi loan incr found bhupind singh former head invest bank asia-pacif deutsch bank inform pleas visit www.incred.com,Others,Others,82.08955223880598
325,mortgagehippo design bring simplic transpar effici otherwis complic home loan process,Others,Mortgages,82.08955223880598
83,financ financi servic impact invest financ financi servic impact invest circleback lend internet-bas credit platform purchas fix incom asset back consum credit product circleback lend internet-bas consum lend platform two-part mission first aim provid prime super-prim consum unit state fast effici way borrow money attract interest rate second offer institut high-net-worth individu investor robust transpar platform invest consum loan internet alreadi becom primari place individu manag person financ circleback lend believ trend continu especi tradit bank lend institut maintain extrem tight credit polici even credit-worthi borrow also believ profession investor continu deploy capit consum credit diversifi portfolio beyond tradit stock bond,Others,Others,82.08955223880598
312,instant approv onlin payday loan servic canada canada-payday-loan fastest grow onlin payday loan firm canada.w complet understand financi need determin serv best.canada-payday-loan offer hassl free onlin payday loan servic charg fees.your loan approv responsibility.open 24 hour,Others,Others,82.08955223880598
135,energi effici financi servic fintech renew energi energi effici financi servic fintech renew energi figtre ondemandpac program provid pace figtre financ provid client program facilit capit environment friend product servic san diego california-bas clean energi financ compani also offer pace financ support commerci properti owner improv properti lower util bill energi effici renew energi water conserv upgrad found 2010 mahesh shah figtre financ special smart invest energi save emiss reduct properti owner focus small commerci market struggl keep pace linear growth residenti solar,Others,Mortgages,82.08955223880598
213,credit financ financi servic small medium busi credit financ financi servic small medium busi ondeck technology-en financi platform provid loan financ small- medium-s busi ondeck technology-en financi platform provid loan financ small- medium-s busi compani use proprietari softwar aggreg data business??? oper process algorithm determin loan elig ondeck found 2006 base new york citi unit state,Others,Others,82.08955223880598
291,financi servic financi servic qbera manag marketplac unsecur person loan qbera manag marketplac unsecur person loan leverag tech-en acquisit underwrit loan process capabl offer credit product co-creat bank part qbera 's multi-lend network origin asset bank??? liabil perform hybrid lend model wherein qbera share risk bank bank nbfcs plug balanc sheet qbera tap new custom segment use qbera??? programmat lend solut benefit lower oper expens data-driven underwrit credit decis reduct turnaround time cost custom acquisit proven technolog increas profit qbera capabl across lend lifecycl 1 acquisit omni-channel borrow sourc funnel tap best-in-class digit acquisit strategi tech-en offlin partner oper lending-as-a-servic laa model custom acquisit partner enabl offer credit product custom 2 underwrit valid risk strategi scorecard host sophist data-driven rule engin extend access credit salari employe 7 lakh compani 3 fulfil paper-less deliveri loan digit verif resid incom employ major borrow 4 servic proprietari loan manag system lms power custom relationship manag platform automated/self-servic along dedic contact center team 5 collect data-driven earli warn system track provid flexibl stress borrow remain financi buoyant,Others,Others,82.08955223880598
368,ynera financi servic financi servic compani provid busi loan financ etc,Others,Others,82.08955223880598
7,financ fintech real estat financ fintech real estat financi real estat consum websit base santa ana california busi sinc 2006 icanbuy provid accur real-tim mortgag loan rate comparison instant consum base uniqu financi credit profil icanbuy???????? disrupt technolog platform develop cut confus mortgag market inform empow homebuy make sound financi decis find lowest mortgag rate unlik tradit mortgag comparison site simpli captur consum inform without provid mortgag rate inform icanbuy provid consum depth loan rate inform allow consum compar lender loan product select lender want work learn www.icanbuy.com,Mortgages,Mortgages,82.08955223880598
131,alumni crowdfund energi fintech solar alumni crowdfund energi fintech solar wunderapp applic load tablet devic provid high visibl hotel civersifi fund solar project found 2014 wunder make simpl accredit investor build solar portfolio reap return previous access largest institut investor corpor wunder sourc solar project grow nation network instal partner use proprietari softwar perform rigor dilig project wunder bring best solar invest opportun institut individu accredit investor locat boulder colorado wunder first solar compani back prestigi techstar incub program learn www.wundercapital.com,Mortgages,Others,82.08955223880598
334,financi servic micro lend financi servic micro lend microenergi credit social enterpris provid consum develop countri clean energi product microenergi credit social enterpris provid consum develop countri clean energi product help microfin institut start clean energi lend program strengthen cloud-bas technolog last-mil servic scale carbon financ company??? product includ heat cook stove solar led light product solar home system water purif system clean household packag includ solar light effici stove water filter exact product specif packag vari local depend market research custom feedback given locat packag design local afford enough consum pay back microloan within 8 month microenergi credit co-found jame dailey https //www.crunchbase.com/person/james-dailey-2 april allderdic https //www.crunchbase.com/person/april-allderdic 2007 base seattl washington,Mortgages,Mortgages,82.08955223880598
203,crowdfund fintech real estat real estat invest crowdfund fintech real estat real estat invest peerstreet crowdfund platform give investor easi access high-yield loan collater real estat peerstreet lead platform invest real estat debt back andreessen horowitz found real estat attorney brew johnson former googl execut brett crosbi peerstreet allow investor easili invest high-yield real estat loan histor difficult access peerstreet secur intuit easy-to-us interfac particip deal simpl buy stock fund account select invest welcom peerstreet better deal everyon,Mortgages,Others,82.08955223880598
337,consum point sale softwar consum point sale softwar mortgagebot h provid financi institut softwar facilit mortgag applic process mortgagebot llc industry-lead inc. 500 compani provid uniqu award-win mortgagebot powersite?? regist famili integr point-of-sal ipo solut take mortgag applic everi mortgag channel consumer-direct via internet branch call center profession loan offic mortgagebot blend extens mortgag experi leading-edg ?????? ? software-as-a-service??????? saa technolog creat scaleabl afford web site 900 mortgag lender nationwid,Loan management platform,Mortgages,82.08955223880598
208,big data databas financi servic big data databas financi servic quantgroup financi big data compani,Credit rating platforms,Credit rating platforms,82.08955223880598
317,financi servic financi servic credit sudhaar credit health manag compani review credit score individu help improv credit sudhaar onlin platform provid client credit advisori servic also offer financi product custom match users??? credit profil credit sudhaar provid client various credit financi tool free credit score credit score simul wide rang analyt assess help in-depth understand current credit status headquart mumbai maharashtra credit sudhaar offic bangalor kolkata found gaurav wadhwani arun ramamurthi 2010,Credit rating platforms,Credit rating platforms,82.08955223880598
139,consum lend fintech inform technolog consum lend fintech inform technolog bristlecon hold engin next generat financi technolog bristlecon develop technolog help busi evalu consum creditworthi autom approv algorithm look hundr differ custom data point leverag power machin learn issu immedi credit decis result truli person credit profil power tool help merchant grow busi,Credit rating platforms,Credit rating platforms,82.08955223880598
321,entrepreneuri financ lab help lender safe approv peopl entrepreneuri financ lab efl innov financial-technolog compani employ psychometr nontradit applic data creat credit score measur risk potenti among consum small busi efl??? altern score technolog enabl lender measur risk among applic information-scarc environ efl product earli harvard research recogn g-20 one innov approach sme financ global efl??? partner includ thirti retail mfi sme financi institut across dozen countri africa latin america south asia southeast asia inform pleas visit www.eflglobal.com,Credit rating platforms,Others,82.08955223880598
124,fintech person financ fintech person financ offer student loan employ benefit student loan genius help compani reach next level recruit retent student loan genius work improv financi outlook employe student loan empow compani help employe reduc student loan debt company??? fix pay match approach simplifi complex problem associ student loan debt reconnect employ employe help busi grow employe retent recruit offer person advic help employe design custom plan meet goal handl payment payrol implement strategi pay loan provid match contribut toward employees??? student loan student loan genius establish 2013,Education Loans ,Education Loans ,82.08955223880598
49,colleg recruit educ financi servic web develop colleg recruit educ financi servic web develop connect busi talent talent fund educ chang way fund educ train hire move past job site agenc us coderloan connect talent aspir coder compani look junior develop re student profession look career chang program help find right train program busi hire manag platform make easi identifi candid skill educ best match junior posit,Education Loans ,Education Loans ,82.08955223880598
116,bank consum lend credit financi servic fintech bank consum lend credit financi servic fintech re build modern bank next generat base san francisco earnest technology-en lend compani use data scienc design softwar autom rebuild financi servic solut enabl custom renegoti loan repay amount interest rate exist loan compani evalu financially-respons people??? full educ employ financi profil base credit score reward better rate person loan student loan refinanc addit offer onlin dashboard give client tool need easili control custom loan payment compani establish 2013,Education Loans ,Others,82.08955223880598
293,consum lend financ fintech consum lend financ fintech lendkey technolog develop cloud-bas platform connect lender borrow facilit onlin lend loan lendkey financi technolog compani creat white-label lend solut transform financi institut profit digit lend busi compani manag entir lend process includ demand generat onlin decis loan origin custom servic balanc sheet manag base new york cincinnati compani found 2009,Education Loans ,Others,82.08955223880598
76,"crowdfund educ enterpris softwar financ crowdfund educ enterpris softwar financ india 's largest crowdfund platform milaap india 's lead crowdfund platform person social caus rais money person caus emerg love one neighbourhood project social caus 12 million rais 50,000+ project across india",Micro Finance ,Others,82.08955223880598
